genome, 
7.031748, 3.318802, 2.252803, 1.367077, 
intruder, 
30.851015, 20.845786, 15.772313, 15.981048, 
labyrinth, 
50.656768, 26.301598, 14.438070, 8.152591, 
ssca2, 
23.131910, 18.852510, 18.833530, 20.846255, 
vacation, 
27.609956, 16.443903, 8.036736, 4.257397, 
vacation, 
34.264323, 19.100750, 9.320356, 5.158924, 
yada, 
9.176, 5.678, 4.639, 4.647, 

genome, 
7.108773, 3.389923, 1.674649, 0.980161, 
intruder, 
38.811065, 19.751063, 12.741028, 9.210945, 
labyrinth, 
50.819080, 26.500429, 14.160086, 8.221802, 
ssca2, 
43.623707, 22.929629, 14.089879, 10.451532, 
vacation, 
22.258470, 12.107028, 6.151158, 3.191388, 
vacation, 
29.102685, 15.841152, 8.123122, 4.256119, 
yada, 
9.899, 6.155, 3.670, 2.241, 

genome, 
6.799568, 3.159079, 2.109550, 1.611278, 
intruder, 
44.571365, 29.990761, 17.348834, 21.281671, 
labyrinth, 
50.883502, 26.518189, 14.139190, 8.262884, 
ssca2, 
23.835761, 22.171742, 18.969804, 20.719926, 
vacation, 
27.182817, 16.499561, 8.505775, 3.570248, 
vacation, 
34.700337, 19.394835, 9.568383, 4.394478, 
yada, 
9.025, 5.613, 3.927, 3.893, 

genome, 
6.677536, 3.909241, 2.079026, 1.664843, 
intruder, 
32.269919, 36.552841, 26.970950, 22.228439, 
labyrinth, 
50.878467, 26.497693, 14.159653, 8.373746, 
ssca2, 
26.889425, 44.968494, 20.577953, 20.603483, 
vacation, 
28.453996, 17.332916, 9.540573, 5.212881, 
vacation, 
34.963254, 20.186141, 11.687617, 6.462710, 
yada, 
9.113, 6.732, 3.933, 3.528, 
genome, 
6.604330, 3.360837, 2.456823, 1.828405, 
intruder, 
34.044825, 31.673876, 18.420109, 26.748609, 
labyrinth, 
50.835460, 26.464310, 14.112877, 7.746162, 
ssca2, 
26.602224, 25.327864, 20.605986, 22.355297, 
vacation, 
30.539506, 18.597317, 10.669979, 5.293484, 
vacation, 
37.500488, 22.493351, 12.366098, 6.806078, 
yada, 
11.455, 8.054, 6.421, 6.287, 

genome, 
7.243887, 3.959160, 2.685825, 1.428283, 
intruder, 
29.523560, 22.179036, 16.279992, 8.636717, 
labyrinth, 
50.763853, 26.283320, 14.058191, 8.111695, 
ssca2, 
22.873124, 28.182961, 16.474575, 20.497592, 
vacation, 
27.157265, 13.565253, 8.054006, 4.233063, 
vacation, 
33.236205, 16.000816, 7.698040, 5.079863, 
yada, 
9.151, 5.524, 4.629, 4.618, 


genome, 
6.414167, 3.006220, 1.541683, 0.883392, 
intruder, 
20.200771, 12.261628, 6.652516, 5.004813, 
labyrinth, 
51.271679, 26.635897, 14.245622, 8.235234, 
ssca2, 
17.055284, 12.498218, 9.882866, 9.417853, 
vacation, 
19.123028, 10.416535, 5.287097, 2.699426, 
vacation, 
26.547798, 13.343391, 6.803306, 3.461612, 
yada, 
7.851, 6.025, 3.033, 1.693, 



tinystm,
genome, 
5.924179, 3.036161, 1.584701, 0.915442, 0.738000, 0.656725, 
intruder, 
20.754743, 11.871504, 6.381270, 4.987588, 5.884125, 7.156195, 
labyrinth, 
51.312988, 26.577651, 14.247734, 8.486167, 6.207446, 5.082389, 
ssca2, 
16.499514, 12.562234, 9.840371, 9.308909, 9.211898, 9.133632, 
vacation, 
18.697861, 9.936254, 5.055952, 2.588216, 1.733104, 1.340277, 
vacation, 
24.713507, 13.153391, 6.719703, 3.501726, 2.372146, 1.794489, 
yada, 
7.661, 5.996, 2.864, 1.645, 1.192, 0.958, 

no-persist,
genome, 
6.298010, 3.084264, 1.606131, 0.924842, 0.728368, 0.742121, 
intruder, 
19.514814, 11.327334, 6.636776, 5.432484, 6.281331, 8.425258, 
labyrinth, 
51.012837, 26.470156, 14.144682, 8.353839, 6.031905, 4.995065, 
ssca2, 
16.535330, 12.235629, 9.683755, 9.401979, 9.354244, 9.232038, 
vacation, 
18.701514, 10.072180, 5.742509, 2.666978, 1.778183, 1.348793, 
vacation, 
27.458657, 14.806099, 6.784046, 3.801731, 2.757434, 1.971800, 
yada, 
7.815, 5.564, 2.899, 1.692, 1.223, 0.975, 

baseline,
genome, 
7.463933, 3.403470, 1.700914, 0.974020, 0.782630, 0.740885, 
intruder, 
51.929773, 23.596972, 13.734710, 12.390795, 13.764007, 17.470033, 
labyrinth, 
50.660451, 26.394304, 14.074061, 8.122219, 6.177218, 5.106006, 
ssca2, 
71.524074, 30.460738, 16.863405, 11.610934, 9.852285, 9.435760, 
vacation, 
24.232081, 12.153757, 6.229610, 3.268164, 2.203298, 1.744309, 
vacation, 
30.137967, 15.464941, 7.994093, 4.137744, 3.136057, 2.230590, 
yada, 
10.219, 6.224, 3.686, 2.239, 1.743, 1.549, 

group,
genome, 
7.112847, 3.867030, 2.555358, 1.960921, 1.786275, 1.682012, 
intruder, 
32.303836, 28.212302, 19.812310, 26.819415, 30.901672, 21.025930, 
labyrinth, 
50.480409, 26.261877, 14.052321, 8.041984, 5.999372, 5.003252, 
ssca2, 
27.118815, 33.929006, 27.447801, 28.371248, 28.181328, 27.220114, 
vacation, 
28.458303, 16.319917, 8.207997, 6.558368, 6.854077, 6.677942, 
vacation, 
33.283242, 19.760303, 10.148834, 7.813743, 8.016011, 7.908442, 
yada, 
10.906, 6.811, 6.092, 6.082, 6.673, 6.154, 


group-unorder-vlog,
genome, 
7.886071, 3.504461, 2.059778, 1.303134, 2.607698, 2.648526, 
intruder, 
36.387729, 17.078323, 10.531440, 7.256951, 14.064210, 12.511543, 
labyrinth, 
50.640346, 26.376617, 14.077700, 8.171559, 6.179898, 5.064425, 
ssca2, 
56.891967, 40.698492, 30.300268, 28.513548, 41.852291, 52.584530, 
vacation, 
28.609990, 15.881272, 6.761481, 3.510407, 9.745065, 9.730413, 
vacation, 
32.595701, 16.252789, 7.501385, 4.327531, 10.437079, 10.449603, 
yada, 
11.049, 7.019, 5.027, 5.439, 7.685, 8.772, 

genome, 
7.972065, 3.590716, 2.894900, 2.098820, 2.608715, 2.663989, 
intruder, 
41.133711, 15.773515, 8.799533, 7.519021, 14.331160, 12.709030, 
labyrinth, 
50.605017, 26.391605, 14.652545, 8.280444, 6.031655, 5.067649, 
ssca2, 
72.030609, 39.908102, 29.903527, 30.557858, 52.256107, 53.464935, 
vacation, 
27.456819, 11.847569, 5.617372, 3.518715, 9.628167, 9.830870, 
vacation, 
35.371380, 16.711953, 8.804729, 4.320714, 10.526270, 10.517827, 
yada, 
12.624, 6.989, 5.056, 5.936, 8.372, 9.073, 

new_group,
genome, 
6.472089, 3.202943, 1.624868, 0.914180, 0.736098, 0.676086, 
intruder, 
28.032230, 15.248133, 8.823470, 7.912893, 9.402624, 13.390923, 
labyrinth, 
50.672559, 26.340693, 14.081516, 8.169637, 6.222941, 5.203088, 
ssca2, 
31.775865, 16.807081, 11.901893, 9.712423, 9.428850, 9.358723, 
vacation, 
21.517503, 11.269416, 5.886391, 3.089583, 2.125110, 1.660904, 
vacation, 
27.697588, 14.817140, 7.650908, 3.974029, 2.780266, 2.170564, 
yada, 
9.252, 5.850, 3.451, 2.086, 1.655, 1.367, 


group_size50,
genome, 
7.933374, 4.034628, 2.259106, 1.412550, 1.108768, 1.034409, 
intruder, 
27.428656, 15.440418, 9.405120, 8.173398, 9.449748, 13.519703, 
labyrinth, 
50.839236, 26.504728, 14.184821, 8.220766, 6.344555, 5.039619, 
ssca2, 
22.707150, 15.453791, 11.476985, 13.503609, 13.279668, 9.471118, 
vacation, 
20.935644, 11.411207, 5.772350, 3.086618, 2.093198, 1.673777, 
vacation, 
27.475999, 14.521791, 7.516560, 3.998959, 2.733195, 2.126062, 
yada, 
8.948, 5.685, 3.415, 2.079, 1.735, 1.380, 

group_size100,
genome, 
6.200838, 2.940099, 1.571016, 0.908874, 0.767731, 0.697718, 
intruder, 
27.355424, 14.986796, 8.928026, 7.764239, 9.440568, 16.894383, 
labyrinth, 
50.657125, 26.413381, 14.457548, 8.167085, 6.048602, 5.127859, 
ssca2, 
29.554208, 17.730890, 13.037315, 10.442744, 9.288101, 9.326799, 
vacation, 
22.475907, 12.350114, 6.740583, 3.504728, 2.378598, 1.868201, 
vacation, 
28.710528, 15.864799, 8.658968, 4.490639, 3.088480, 2.407736, 
yada, 
12.573, 7.525, 3.762, 2.142, 1.815, 1.509, 


group_size50,
genome, 
6.600655, 3.156926, 1.630814, 0.950160, 0.733099, 0.687362, 
intruder, 
28.161673, 15.166305, 8.988311, 7.932126, 10.430707, 12.428070, 
labyrinth, 
50.691949, 26.284864, 14.113686, 8.303413, 6.088067, 4.906482, 
ssca2, 
26.338251, 20.877906, 17.905414, 9.776566, 9.281155, 14.737950, 
vacation, 
22.486568, 12.327684, 6.742834, 3.504023, 2.372599, 1.887670, 
vacation, 
27.507353, 15.826744, 8.723879, 4.493137, 3.069240, 2.413292, 
yada, 
12.543, 7.498, 4.274, 2.093, 1.755, 1.389, 


group_size50_no_replay,
genome, 
6.012774, 2.968801, 1.531313, 1.422170, 0.717543, 0.648549, 
intruder, 
23.761057, 13.441790, 7.851887, 7.105491, 7.410539, 10.770752, 
labyrinth, 
50.954064, 26.512285, 14.129733, 8.293369, 6.111879, 5.142331, 
ssca2, 
21.573929, 15.040915, 10.921634, 15.852702, 9.419130, 9.340595, 
vacation, 
20.428588, 10.988438, 6.070724, 2.957260, 2.046821, 1.585573, 
vacation, 
26.671519, 14.437748, 7.444319, 3.871013, 2.685657, 2.080566, 
yada, 
8.866, 5.751, 3.663, 2.193, 1.665, 1.326, 


group_size50_64Gblog,
genome, 
6.212671, 3.381712, 1.629099, 0.915945, 0.771448, 0.698651, 
intruder, 
28.486556, 15.753350, 9.291293, 7.805583, 9.931434, 12.099818, 
labyrinth, 
50.659865, 26.394850, 14.516204, 8.206569, 6.239640, 4.938778, 
ssca2, 
37.148235, 18.372619, 13.721492, 11.661927, 9.405059, 9.340973, 
vacation, 
22.705198, 12.543365, 6.782367, 3.565398, 2.387370, 1.876296, 
vacation, 
28.788612, 15.838519, 8.668814, 4.472502, 3.092514, 2.149756, 
yada, 
12.625, 7.503, 3.629, 2.171, 1.809, 1.423, 


group_size50_nt,
genome, 
6.891568, 3.179166, 1.862299, 1.063289, 0.751554, 0.870800, 
intruder, 
29.175719, 17.403694, 10.522993, 9.975887, 11.109292, 12.705284, 
labyrinth, 
50.710504, 26.415915, 14.086621, 8.196833, 6.171019, 4.847166, 
ssca2, 
42.111014, 28.605883, 21.863025, 18.687207, 9.591422, 17.333226, 
vacation, 
25.138010, 14.720086, 10.456603, 6.448147, 2.538714, 1.983153, 
vacation, 
27.619367, 17.320897, 9.189308, 4.751297, 3.261215, 2.613168, 
yada, 
15.751, 5.733, 3.388, 2.041, 1.545, 1.340, 

group_size20_no_replay,
genome, 
6.435070, 3.405547, 1.662218, 0.940899, 0.797047, 0.795117, 
intruder, 
27.060300, 14.960732, 8.767214, 6.899962, 7.516989, 8.899483, 
labyrinth, 
52.199872, 26.572749, 14.197052, 8.371399, 6.432786, 5.233627, 
ssca2, 
29.375402, 19.465441, 13.855245, 11.180617, 10.927764, 11.037615, 
vacation, 
22.993494, 12.682509, 6.199408, 3.455717, 2.367297, 1.890727, 
vacation, 
33.248644, 17.327129, 8.890029, 4.618612, 3.241331, 2.638780, 
yada, 
11.552, 7.225, 4.077, 2.408, 2.121, 1.609, 

group_size_max_no_replay,
genome, 
6.921700, 3.356142, 1.786497, 1.044390, 0.830820, 0.778734, 
intruder, 
27.424737, 16.412076, 8.803227, 6.460984, 7.785623, 8.622544, 
labyrinth, 
51.087089, 26.478328, 14.184801, 8.445169, 6.726088, 5.368390, 
ssca2, 
29.110769, 19.483561, 13.757008, 16.259741, 41.376356, 26.448358, 
vacation, 
25.174668, 12.577454, 6.671113, 4.141962, 2.457587, 1.978926, 
vacation, 
36.239307, 17.323443, 8.990044, 4.867107, 3.397544, 2.315189, 
yada, 
13.646, 10.397, 3.859, 2.365, 1.846, 1.509, 
